data;time;pos;chance
2017-05-23;SAN;18;4,44
2017-05-23;SAN;19;4,58
2017-05-23;SAN;20;4,22
2017-05-23;AGO;1;1,8599999999999999
2017-05-23;AGO;2;2,555
2017-05-23;AGO;3;2,995
2017-05-23;AGO;4;3,35
2017-05-23;AGO;5;3,5999999999999996
2017-05-23;AGO;6;3,5900000000000003
2017-05-23;AGO;7;3,65
2017-05-23;AGO;8;4,035
2017-05-23;AGO;9;4,31
2017-05-23;AGO;10;4,6899999999999995
2017-05-23;AGO;11;4,87
2017-05-23;AGO;12;5,27
2017-05-23;AGO;13;5,635
2017-05-23;AGO;14;5,6000000000000005
2017-05-23;AGO;15;6,205
2017-05-23;AGO;16;6,09
2017-05-23;AGO;17;6,68
2017-05-23;AGO;18;7,340000000000001
2017-05-23;AGO;19;8,285
2017-05-23;AGO;20;9,39
2017-05-23;CHA;1;5,99
2017-05-23;CHA;2;5,949999999999999
2017-05-23;CHA;3;5,845000000000001
2017-05-23;CHA;4;5,7700000000000005
2017-05-23;CHA;5;5,545
2017-05-23;CHA;6;5,695
2017-05-23;CHA;7;5,38
2017-05-23;CHA;8;5,655
2017-05-23;CHA;9;5,35
2017-05-23;CHA;10;5,12
2017-05-23;CHA;11;5,055
2017-05-23;CHA;12;4,675
2017-05-23;CHA;13;4,655
2017-05-23;CHA;14;4,614999999999999
2017-05-23;CHA;15;4,83
2017-05-23;CHA;16;4,45
2017-05-23;CHA;17;4,3999999999999995
2017-05-23;CHA;18;4,1000000000000005
2017-05-23;CHA;19;3,695
2017-05-23;CHA;20;3,225
2017-05-23;VAS;1;4,905
2017-05-23;VAS;2;4,915
2017-05-23;VAS;3;5,06
2017-05-23;VAS;4;5,025
2017-05-23;VAS;5;5,065
2017-05-23;VAS;6;5,335
2017-05-23;VAS;7;5,135
2017-05-23;VAS;8;5,11
2017-05-23;VAS;9;4,915
2017-05-23;VAS;10;5,1049999999999995
2017-05-23;VAS;11;5,065
2017-05-23;VAS;12;5,33
2017-05-23;VAS;13;5,155
2017-05-23;VAS;14;5,225
2017-05-23;VAS;15;4,835
2017-05-23;VAS;16;4,75
2017-05-23;VAS;17;5,055
2017-05-23;VAS;18;4,8
2017-05-23;VAS;19;4,905
2017-05-23;VAS;20;4,31
2017-05-23;VIT;1;2,725
2017-05-23;VIT;2;3,4299999999999997
2017-05-23;VIT;3;3,56
2017-05-23;VIT;4;3,705
2017-05-23;VIT;5;3,895
2017-05-23;VIT;6;4,265
2017-05-23;VIT;7;4,2700000000000005
2017-05-23;VIT;8;4,46
2017-05-23;VIT;9;4,605
2017-05-23;VIT;10;4,885
2017-05-23;VIT;11;5,165
2017-05-23;VIT;12;5,34
2017-05-23;VIT;13;5,175
2017-05-23;VIT;14;5,825
2017-05-23;VIT;15;6,1850000000000005
2017-05-23;VIT;16;5,695
2017-05-23;VIT;17;6,2
2017-05-23;VIT;18;6,76
2017-05-23;VIT;19;6,4799999999999995
2017-05-23;VIT;20;7,375
2017-05-23;CAM;1;2,7
2017-05-23;CAM;2;3,36
2017-05-23;CAM;3;3,325
2017-05-23;CAM;4;3,9699999999999998
2017-05-23;CAM;5;3,975
2017-05-23;CAM;6;4,19
2017-05-23;CAM;7;4,595
2017-05-23;CAM;8;4,44
2017-05-23;CAM;9;4,859999999999999
2017-05-23;CAM;10;4,77
2017-05-23;CAM;11;5,13
2017-05-23;CAM;12;5,215
2017-05-23;CAM;13;5,2749999999999995
2017-05-23;CAM;14;5,609999999999999
2017-05-23;CAM;15;5,57
2017-05-23;CAM;16;6,175
2017-05-23;CAM;17;6,23
2017-05-23;CAM;18;6,235
2017-05-23;CAM;19;7,07
2017-05-23;CAM;20;7,305000000000001
2017-05-23;ATP;1;2,09
2017-05-23;ATP;2;2,605
2017-05-23;ATP;3;2,9899999999999998
2017-05-23;ATP;4;3,2
2017-05-23;ATP;5;3,63
2017-05-23;ATP;6;3,82
2017-05-23;ATP;7;3,82
2017-05-23;ATP;8;4,1450000000000005
2017-05-23;ATP;9;4,37
2017-05-23;ATP;10;4,46
2017-05-23;ATP;11;4,9
2017-05-23;ATP;12;5,04
2017-05-23;ATP;13;5,2299999999999995
2017-05-23;ATP;14;5,715
2017-05-23;ATP;15;5,815
2017-05-23;ATP;16;6,64
2017-05-23;ATP;17;6,64
2017-05-23;ATP;18;7,28
2017-05-23;ATP;19;8,14
2017-05-23;ATP;20;9,47
2017-05-23;BOT;1;4,760000000000001
2017-05-23;BOT;2;5,04
2017-05-23;BOT;3;5,355
2017-05-23;BOT;4;5,035
2017-05-23;BOT;5;5,13
2017-05-23;BOT;6;5,315
2017-05-23;BOT;7;5,315
2017-05-23;BOT;8;5,345
2017-05-23;BOT;9;5,235
2017-05-23;BOT;10;5,135
2017-05-23;BOT;11;5,04
